mission,setno,station,scientific_name,common_name,abundance,biomass_g,comments
BOF2011001,2011.002,C,Leucoraja erinacea,little skate,4,1850,NA
BOF2011001,2011.002,C,Melanogrammus aeglefinus,haddock,10,75,NA
BOF2011001,2011.002,C,Mercenaria mercenaria,quahog,1,20,NA
BOF2011001,2011.002,C,Merluccius bilinearis,silver hake,24,1269,NA
BOF2011001,2011.002,C,Metridium senile,frilled anemone,8,198,NA
BOF2011001,2011.002,C,Myoxocephalus octodecemspinosus,longhorn sculpin,5,662,NA
BOF2011001,2011.002,C,Osmerus mordax,smelt,16,591,NA
BOF2011001,2011.002,C,Pandalus borealis,northern shrimp,2,33,NA
BOF2011001,2011.002,C,Pandalus montagui,Montague shrimp,38,122,NA
BOF2011001,2011.002,C,Peprilus triacanthus,butterfish,2,17,NA
BOF2011001,2011.002,C,Placopecten magellanicus,deep sea scallop,6,162,NA
BOF2011001,2011.002,C,Pseudopleuronectes americanus,winter flounder,165,6112,NA
BOF2011001,2011.002,C,Scophthalmus aquosus,windowpane flounder,2,144,NA
BOF2011001,2011.002,C,Urophycis tenuis,white hake,1,159,NA
BOF2011001,2011.003,A,Alosa pseudoharengus,alewife,1,59,NA
BOF2011001,2011.003,A,Aurelia aurita,moon jelly,6,519,NA
BOF2011001,2011.003,A,Bathypolypus arcticus,deep sea octopus,1,98,NA
BOF2011001,2011.003,A,Boltenia ovifera,stalked sea squirt,10,109,NA
BOF2011001,2011.003,A,Clinocardium ciliatum,Iceland cockle,2,14,NA
BOF2011001,2011.003,A,Clupea harengus,herring,17,581,NA
BOF2011001,2011.003,A,Cucumaria frondosa,orange-footed sea cucumber,29,10775,NA
BOF2011001,2011.003,A,Phaeophyta,Phaeophyta,1,28,NA
BOF2011001,2011.003,A,Halocynthia pyriformis,sea peach,2,8,NA
BOF2011001,2011.003,A,Homarus americanus,American lobster,21,14398,NA
BOF2011001,2011.003,A,Isodictya palmata,palmate sponge,1,815,NA
BOF2011001,2011.003,A,Lebbeus groenlandicus,Greenland shrimp,1,1,NA
BOF2011001,2011.003,A,Leucoraja erinacea,little skate,4,32,NA
BOF2011001,2011.003,A,Melanogrammus aeglefinus,haddock,6,57,NA
BOF2011001,2011.003,A,Mercenaria mercenaria,quahog,8,128,NA
BOF2011001,2011.003,A,Merluccius bilinearis,silver hake,7,301,NA
BOF2011001,2011.003,A,Metridium senile,frilled anemone,9,117,NA
BOF2011001,2011.003,A,Microgadus tomcod,Atlantic tomcod,1,12,NA
BOF2011001,2011.003,A,Myoxocephalus octodecemspinosus,longhorn sculpin,28,3336,NA
BOF2011001,2011.003,A,Ophiopholis aculeata,daisy brittle star,2,6,NA
BOF2011001,2011.003,A,Osmerus mordax,smelt,23,818,NA
BOF2011001,2011.003,A,Ostreidae sp.,Ostreidae sp.,1,8,NA
BOF2011001,2011.003,A,Pandalus montagui,Montague shrimp,40,124,NA
BOF2011001,2011.003,A,Peprilus triacanthus,butterfish,6,83,NA
BOF2011001,2011.003,A,Placopecten magellanicus,deep sea scallop,29,451,NA
BOF2011001,2011.003,A,Pseudopleuronectes americanus,winter flounder,122,5536,NA
BOF2011001,2011.003,A,Scomber scombrus,mackerel,7,915,NA
BOF2011001,2011.003,A,Strongylocentrotus droebachiensis,green sea urchin,3,136,NA
BOF2011001,2011.003,A,Styela clava,club tunicate,2,23,NA
BOF2011001,2011.003,A,Triglops murrayi,moustache sculpin,6,74,NA
BOF2011001,2011.003,A,Urophycis tenuis,white hake,1,12,NA
BOF2011001,2011.004,A,Alosa pseudoharengus,alewife,1,29,NA
BOF2011001,2011.004,A,Aurelia aurita,moon jelly,3,248,NA
BOF2011001,2011.004,A,Boltenia ovifera,stalked sea squirt,5,20,NA
BOF2011001,2011.004,A,Clupea harengus,herring,5,210,NA
BOF2011001,2011.004,A,Cucumaria frondosa,orange-footed sea cucumber,2,820,NA
BOF2011001,2011.004,A,Homarus americanus,American lobster,1,200,NA
BOF2011001,2011.004,A,Metridium senile,frilled anemone,1,13,NA
BOF2011001,2011.004,A,Pandalus montagui,Montague shrimp,8,21,NA
BOF2011001,2011.004,A,Placopecten magellanicus,deep sea scallop,16,312,NA
BOF2011001,2011.004,A,Pseudopleuronectes americanus,winter flounder,6,155,NA
BOF2011001,2011.004,A,Scomber scombrus,mackerel,2,281,NA
BOF2011001,2011.005,B,Alosa pseudoharengus,alewife,171,11751,NA
BOF2011001,2011.005,B,Alosa sapidissima,shad,3,350,NA
BOF2011001,2011.005,B,Asterias vulgaris,northern sea star,5,50,NA
BOF2011001,2011.005,B,Cancer irroratus,rock crab,3,150,NA
BOF2011001,2011.005,B,Clinocardium ciliatum,Iceland cockle,1,102,NA
BOF2011001,2011.005,B,Clupea harengus,herring,5,258,NA
BOF2011001,2011.005,B,Gadus morhua,Atlantic cod,1,172,NA
BOF2011001,2011.005,B,Hemitripterus americanus,sea raven,2,741,NA
BOF2011001,2011.005,B,Hippoglossoides platessoides,American plaice,1,28,NA
BOF2011001,2011.005,B,Hippoglossus hippoglossus,Atlantic halibut,1,3110,NA
BOF2011001,2011.005,B,Homarus americanus,American lobster,177,129880,NA
BOF2011001,2011.005,B,Doryteuthis pealeii,longfin inshore squid,5,328,NA
BOF2011001,2011.005,B,Isodictya palmata,palmate sponge,1,158,NA
BOF2011001,2011.005,B,Leucoraja erinacea,little skate,1,306,NA
BOF2011001,2011.005,B,Merluccius bilinearis,silver hake,41,3871,NA
BOF2011001,2011.005,B,Microgadus tomcod,Atlantic tomcod,1,14,NA
BOF2011001,2011.005,B,Myoxocephalus octodecemspinosus,longhorn sculpin,43,6172,NA
BOF2011001,2011.005,B,Osmerus mordax,smelt,225,7794,NA
BOF2011001,2011.005,B,Pandalus borealis,northern shrimp,854,11490,NA
BOF2011001,2011.005,B,Peprilus triacanthus,butterfish,23,910,NA
BOF2011001,2011.005,B,Placopecten magellanicus,deep sea scallop,4,14,NA
BOF2011001,2011.005,B,Pollachius virens,pollock,1,23,NA
BOF2011001,2011.005,B,Pseudopleuronectes americanus,winter flounder,253,20068,NA
BOF2011001,2011.005,B,Scomber scombrus,mackerel,2,392,NA
BOF2011001,2011.005,B,Scophthalmus aquosus,windowpane flounder,6,896,NA
BOF2011001,2011.005,B,Strongylocentrotus droebachiensis,green sea urchin,5,75,NA
BOF2011001,2011.005,B,Urophycis tenuis,white hake,37,1411,NA
BOF2011001,2011.006,D,Alosa pseudoharengus,alewife,103,10819,NA
BOF2011001,2011.006,D,Alosa sapidissima,shad,5,638,NA
BOF2011001,2011.006,D,Clupea harengus,herring,34,1967,NA
BOF2011001,2011.006,D,Ctenodiscus crispatus,mud star,39,214,NA
BOF2011001,2011.006,D,Enchelyopus cimbrius,fourbeard rockling,1,52,NA
BOF2011001,2011.006,D,Glyptocephalus cynoglossus,witch flounder,24,772,NA
BOF2011001,2011.006,D,Hippoglossoides platessoides,American plaice,24,2573,NA
BOF2011001,2011.006,D,Homarus americanus,American lobster,10,8594,NA
BOF2011001,2011.006,D,Doryteuthis pealeii,longfin inshore squid,3,150,NA
BOF2011001,2011.006,D,Isodictya palmata,palmate sponge,1,45,NA
BOF2011001,2011.006,D,Merluccius bilinearis,silver hake,2,155,NA
BOF2011001,2011.006,D,Myoxocephalus octodecemspinosus,longhorn sculpin,5,1300,NA
BOF2011001,2011.006,D,Osmerus mordax,smelt,26,366,NA
BOF2011001,2011.006,D,Pandalus borealis,northern shrimp,145,1945,NA
BOF2011001,2011.006,D,Pandalus montagui,Montague shrimp,928,2980,NA
BOF2011001,2011.006,D,Peprilus triacanthus,butterfish,3,182,NA
BOF2011001,2011.006,D,Placopecten magellanicus,deep sea scallop,13,109,NA
BOF2011001,2011.006,D,Pseudopleuronectes americanus,winter flounder,50,10796,NA
BOF2011001,2011.006,D,Rajella bathyphilus,deepwater ray,1,6,NA
BOF2011001,2011.006,D,Reinhardtius hippoglossoides,Greenland halibut,1,639,NA
BOF2011001,2011.006,D,Urophycis tenuis,white hake,14,3382,NA
BOF2011001,2011.007,B,Asterias forbesi,Forbes sea star,17,76,NA
BOF2011001,2011.007,B,Asterias vulgaris,northern sea star,1,170,NA
BOF2011001,2011.007,B,Clupea harengus,herring,807,8829,NA
BOF2011001,2011.007,B,Ctenodiscus crispatus,mud star,1,22,NA
BOF2011001,2011.007,B,Gadus morhua,Atlantic cod,2,16,NA
BOF2011001,2011.007,B,Hemitripterus americanus,sea raven,1,316,NA
BOF2011001,2011.007,B,Hippoglossoides platessoides,American plaice,3,302,NA
BOF2011001,2011.007,B,Homarus americanus,American lobster,77,42938,NA
BOF2011001,2011.007,B,Isodictya palmata,palmate sponge,9,760,NA
BOF2011001,2011.007,B,Lebbeus groenlandicus,Greenland shrimp,2,3,NA
BOF2011001,2011.007,B,Lepiodonotus squamatus,scale worm,1,1,NA
BOF2011001,2011.007,B,Melanogrammus aeglefinus,haddock,33,422,NA
BOF2011001,2011.007,B,Merluccius bilinearis,silver hake,1,84,NA
BOF2011001,2011.007,B,Osmerus mordax,smelt,222,3623,NA
BOF2011001,2011.007,B,Peprilus triacanthus,butterfish,3,20,NA
BOF2011001,2011.007,B,Placopecten magellanicus,deep sea scallop,1343,6272,NA
BOF2011001,2011.007,B,Pseudopleuronectes americanus,winter flounder,134,7223,NA
BOF2011001,2011.007,B,Urophycis tenuis,white hake,6,110,NA
BOF2011001,2011.007,B,Urticina felina,northern red anemone,1,12,NA
BOF2011001,2011.008,C,Alosa pseudoharengus,alewife,24,697,NA
BOF2011001,2011.008,C,Ascidiacea sp.,Ascidiacea sp.,4,48,NA
BOF2011001,2011.008,C,Astarte castanea,chestnut astarte,47,470,NA
BOF2011001,2011.008,C,Asterias forbesi,Forbes sea star,1,10,NA
BOF2011001,2011.008,C,Asterias vulgaris,northern sea star,6,346,NA
BOF2011001,2011.008,C,Clinocardium ciliatum,Iceland cockle,3,27,NA
BOF2011001,2011.008,C,Clupea harengus,herring,928,12361,NA
BOF2011001,2011.008,C,Cryptacanthodes maculatus,wrymouth,1,54,NA
BOF2011001,2011.008,C,Homarus americanus,American lobster,57,36049,NA
BOF2011001,2011.008,C,Doryteuthis pealeii,longfin inshore squid,1,71,NA
BOF2011001,2011.008,C,Isodictya palmata,palmate sponge,2,97,NA
BOF2011001,2011.008,C,Leucoraja erinacea,little skate,1,415,NA
BOF2011001,2011.008,C,Leucoraja ocellata,winter skate,2,1190,NA
BOF2011001,2011.008,C,Melanogrammus aeglefinus,haddock,2,18,NA
BOF2011001,2011.008,C,Merluccius bilinearis,silver hake,10,868,NA
BOF2011001,2011.008,C,Myoxocephalus octodecemspinosus,longhorn sculpin,6,1004,NA
BOF2011001,2011.008,C,Osmerus mordax,smelt,24,557,NA
BOF2011001,2011.008,C,Peprilus triacanthus,butterfish,10,630,NA
BOF2011001,2011.008,C,Placopecten magellanicus,deep sea scallop,41,1401,NA
BOF2011001,2011.008,C,Pseudopleuronectes americanus,winter flounder,148,4946,NA
BOF2011001,2011.008,C,Scomber scombrus,mackerel,2,314,NA
BOF2011001,2011.008,C,Scophthalmus aquosus,windowpane flounder,6,532,NA
BOF2011001,2011.008,C,Urophycis tenuis,white hake,12,708,NA
BOF2011001,2011.009,B,Agarum cribrosum,sea colander,1,10,NA
BOF2011001,2011.009,B,Alosa pseudoharengus,alewife,378,20556,NA
BOF2011001,2011.009,B,Ctenodiscus crispatus,mud star,18,108,NA
BOF2011001,2011.009,B,Cucumaria frondosa,orange-footed sea cucumber,570,195700,NA
BOF2011001,2011.009,B,Hemitripterus americanus,sea raven,14,9187,NA
BOF2011001,2011.009,B,Hippoglossoides platessoides,American plaice,3,84,NA
BOF2011001,2011.009,B,Homarus americanus,American lobster,366,298963,NA
BOF2011001,2011.009,B,Doryteuthis pealeii,longfin inshore squid,2,216,NA
BOF2011001,2011.009,B,Isodictya palmata,palmate sponge,1,50,NA
BOF2011001,2011.009,B,Phaeophyta,Phaeophyta,1,30,NA
BOF2011001,2011.009,B,Leucoraja erinacea,little skate,15,1473,NA
BOF2011001,2011.009,B,Melanogrammus aeglefinus,haddock,8,293,NA
BOF2011001,2011.009,B,Merluccius bilinearis,silver hake,56,6060,NA
BOF2011001,2011.009,B,Myoxocephalus octodecemspinosus,longhorn sculpin,243,28917,NA
BOF2011001,2011.009,B,Osmerus mordax,smelt,229,7264,NA
BOF2011001,2011.009,B,Pandalus borealis,northern shrimp,187,2495,NA
BOF2011001,2011.009,B,Pandalus montagui,Montague shrimp,279,1425,NA
BOF2011001,2011.009,B,Peprilus triacanthus,butterfish,32,1323,NA
BOF2011001,2011.009,B,Placopecten magellanicus,deep sea scallop,808,4557,NA
BOF2011001,2011.009,B,Pseudopleuronectes americanus,winter flounder,412,14956,NA
BOF2011001,2011.009,B,Scophthalmus aquosus,windowpane flounder,22,2202,NA
BOF2011001,2011.009,B,Sebastes mentella,red fish,1,137,NA
BOF2011001,2011.009,B,Strongylocentrotus droebachiensis,green sea urchin,36,360,NA
BOF2011001,2011.009,B,Triglops murrayi,moustache sculpin,1,15,NA
BOF2011001,2011.009,B,Urophycis tenuis,white hake,310,15748,NA
BOF2011001,2011.009,B,Zoarces americanus,ocean pout,8,620,NA
BOF2012001,2012.001,D,Hippoglossus hippoglossus,Atlantic halibut,1,3650,NA
BOF2012001,2012.001,D,Homarus americanus,American lobster,10,5725,NA
BOF2012001,2012.001,D,Hyas coarctatus,Atlantic lyre crab,1,20,NA
BOF2012001,2012.001,D,Doryteuthis pealeii,longfin inshore squid,1,24,NA
BOF2012001,2012.001,D,Lophius americanus,monkfish,1,906,NA
BOF2012001,2012.001,D,Merluccius bilinearis,silver hake,2506,152164,NA
BOF2012001,2012.001,D,Myoxocephalus octodecemspinosus,longhorn sculpin,5,956,NA
BOF2012001,2012.001,D,Ophiopholis aculeata,daisy brittle star,7,20,NA
BOF2012001,2012.001,D,Pandalus borealis,northern shrimp,167,1460,NA
BOF2012001,2012.001,D,Pandalus montagui,Montague shrimp,332,1330,NA
BOF2012001,2012.001,D,Placopecten magellanicus,deep sea scallop,23,173,NA
BOF2012001,2012.001,D,Pseudopleuronectes americanus,winter flounder,65,13514,NA
BOF2012001,2012.001,D,Urophycis tenuis,white hake,21,3203,NA
BOF2012001,2012.002,C,Alosa pseudoharengus,alewife,199,29349,NA
BOF2012001,2012.002,C,Asterias vulgaris,northern sea star,3,107,NA
BOF2012001,2012.002,C,Aurelia aurita,moon jelly,24,535,NA
BOF2012001,2012.002,C,Boltenia ovifera,stalked sea squirt,9,147,NA
BOF2012001,2012.002,C,Cancer irroratus,rock crab,2,100,NA
BOF2012001,2012.002,C,Clupea harengus,herring,181,6371,NA
BOF2012001,2012.002,C,Ctenodiscus crispatus,mud star,53,306,NA
BOF2012001,2012.002,C,Cucumaria frondosa,orange-footed sea cucumber,4,1772,NA
BOF2012001,2012.002,C,Glyptocephalus cynoglossus,witch flounder,1,4,NA
BOF2012001,2012.002,C,Hippoglossoides platessoides,American plaice,6,564,NA
BOF2012001,2012.002,C,Homarus americanus,American lobster,17,19496,NA
BOF2012001,2012.002,C,Doryteuthis pealeii,longfin inshore squid,13,715,NA
BOF2012001,2012.002,C,Isodictya palmata,palmate sponge,1,31,NA
BOF2012001,2012.002,C,Leucoraja erinacea,little skate,1,492,NA
BOF2012001,2012.002,C,Lophius americanus,monkfish,1,16,NA
BOF2012001,2012.002,C,Merluccius bilinearis,silver hake,698,38111,NA
BOF2012001,2012.002,C,Microgadus tomcod,Atlantic tomcod,1,172,NA
BOF2012001,2012.002,C,Myoxocephalus octodecemspinosus,longhorn sculpin,2,458,NA
BOF2012001,2012.002,C,Mytilus edulis,blue mussel,1,10,NA
BOF2012001,2012.002,C,Ophiopholis aculeata,daisy brittle star,67,201,NA
BOF2012001,2012.002,C,Osmerus mordax,smelt,21,1176,NA
BOF2012001,2012.002,C,Pandalus borealis,northern shrimp,3,36,NA
BOF2012001,2012.002,C,Pandalus montagui,Montague shrimp,33,158,NA
BOF2012001,2012.002,C,Peprilus triacanthus,butterfish,2,72,NA
BOF2012001,2012.002,C,Placopecten magellanicus,deep sea scallop,20,281,NA
BOF2012001,2012.002,C,Pseudopleuronectes americanus,winter flounder,248,16755,NA
BOF2012001,2012.002,C,Strongylocentrotus droebachiensis,green sea urchin,7,280,NA
BOF2012001,2012.002,C,Urophycis tenuis,white hake,1,234,NA
BOF2012001,2012.003,B,Alosa pseudoharengus,alewife,17,1937,NA
BOF2012001,2012.003,B,Aurelia aurita,moon jelly,1330,29550,NA
BOF2012001,2012.003,B,Boltenia ovifera,stalked sea squirt,1,31,NA
BOF2012001,2012.003,B,Clupea harengus,herring,3,46,NA
BOF2012001,2012.003,B,Cucumaria frondosa,orange-footed sea cucumber,285,26780,NA
BOF2012001,2012.003,B,Hippoglossoides platessoides,American plaice,1,30,NA
BOF2012001,2012.003,B,Homarus americanus,American lobster,157,65300,NA
BOF2012001,2012.003,B,Doryteuthis pealeii,longfin inshore squid,80,3016,NA
