"MISSION","SETNO","SPECIES_CODE","SCIENTIFIC_NAME","COMMON_NAME","NUMBER_CAUGHT","BIOMASS","COMMENTS"
"BOF2011001",8,630,"Cryptacanthodes maculatus","wrymouth",1,54,""
"BOF2011001",8,2550,"Homarus americanus","American lobster",57,36049.08,""
"BOF2011001",8,,"Doryteuthis pealeii","longfin inshore squid",1,71,""
"BOF2011001",8,,"Isodycta palmata","palmate sponge",2,97,""
"BOF2011001",8,203,"Leucoraja erinacea","little skate",1,415,""
"BOF2011001",8,204,"Leucoraja ocellata","winter skate",2,1190,""
"BOF2011001",8,11,"Melanogrammus aeglefinus","haddock",2,18,""
"BOF2011001",8,14,"Merluccius bilinearis","silver hake",10,868,""
"BOF2011001",8,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",6,1004,""
"BOF2011001",8,63,"Osmerus mordax","smelt",24,557,""
"BOF2011001",8,701,"Peprilus triacanthus","butterfish ",10,630,""
"BOF2011001",8,4321,"Placopecten magellanicus","deep sea scallop",41,1401,""
"BOF2011001",8,43,"Pseudopleuronectes americanus","winter flounder",148,4946.16,""
"BOF2011001",8,70,"Scomber scombrus","mackerel",2,314,""
"BOF2011001",8,143,"Scophthalmus aquosus","windowpane flounder",6,532,""
"BOF2011001",8,12,"Urophycis tenuis","white hake",12,708,""
"BOF2011001",9,9325,"Agarum cribrosum","sea colander",1,,""
"BOF2011001",9,62,"Alosa pseudoharengus","alewife",378,20555.64,""
"BOF2011001",9,6115,"Ctenodiscus crispatus","mud star",18,,""
"BOF2011001",9,6611,"Cucumaria frondosa","orange-footed sea cucumber",570,195700,""
"BOF2011001",9,320,"Hemitripterus americanus","sea raven",14,9187,""
"BOF2011001",9,40,"Hippoglossoides platessoides","American plaice",3,84,""
"BOF2011001",9,2550,"Homarus americanus","American lobster",366,298963.44,""
"BOF2011001",9,,"Doryteuthis pealeii","longfin inshore squid",2,216,""
"BOF2011001",9,,"Isodycta palmata","palmate sponge",1,,""
"BOF2011001",9,,"Laminaria longcruris","kelp",1,,""
"BOF2011001",9,203,"Leucoraja erinacea","little skate",15,1473,""
"BOF2011001",9,11,"Melanogrammus aeglefinus","haddock",8,293,""
"BOF2011001",9,14,"Merluccius bilinearis","silver hake",56,6060.32,""
"BOF2011001",9,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",243,28917,""
"BOF2011001",9,63,"Osmerus mordax","smelt",229,7263.88,""
"BOF2011001",9,2211,"Pandalus borealis","northern shrimp",187,2495,""
"BOF2011001",9,2212,"Pandalus montagui","Montague shrimp",279,1425,""
"BOF2011001",9,701,"Peprilus triacanthus","butterfish ",32,1323,""
"BOF2011001",9,,"Placoplecten magellanicus","deep sea scallop",808,4557.12,""
"BOF2011001",9,43,"Pseudopleuronectes americanus","winter flounder",412,14955.6,""
"BOF2011001",9,143,"Scophthalmus aquosus","windowpane flounder",22,2202,""
"BOF2011001",9,21,"Sebastes mentella","red fish",1,137,""
"BOF2011001",9,6411,"Strongylocentrotus droebachiensis","green sea urchin",36,,""
"BOF2011001",9,304,"Triglops murrayi","moustache sculpin",1,15,""
"BOF2011001",9,12,"Urophycis tenuis","white hake",310,15748,""
"BOF2011001",9,640,"Zoarces americanus","ocean pout",8,620,""
"BOF2012001",1,43,"Pseudopleuronectes americanus","winter flounder",65,13513.5,""
"BOF2012001",1,30,"Hippoglossus hippoglossus","Atlantic halibut",1,3650,""
"BOF2012001",1,14,"Merluccius bilinearis","silver hake",2506,152164.32,""
"BOF2012001",1,12,"Urophycis tenuis","white hake",21,3203,""
"BOF2012001",1,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",5,956,""
"BOF2012001",1,40,"Hippoglossoides platessoides","American plaice",42,1936,""
"BOF2012001",1,2550,"Homarus americanus","American lobster",10,5724.59,""
"BOF2012001",1,400,"Lophius americanus","monkfish",1,906,""
"BOF2012001",1,,"Doryteuthis pealeii","longfin inshore squid",1,24,""
"BOF2012001",2,6411,"Strongylocentrotus droebachiensis","green sea urchin",7,,""
"BOF2012001",2,4321,"Placopecten magellanicus","deep sea scallop",20,280.92,""
"BOF2012001",2,,"Doryteuthis pealeii","longfin inshore squid",13,715.1,""
"BOF2012001",2,6611,"Cucumaria frondosa","orange-footed sea cucumber",4,1772,""
"BOF2012001",2,8010,"Aurelia aurita","moon jelly",,535,""
"BOF2012001",2,,"Boltenia ovifera","stalked sea squirt",9,147,""
"BOF2012001",2,6115,"Ctenodiscus crispatus","mud star",53,306,""
"BOF2012001",2,,"Asterias vulgaris","northern sea star",3,107,""
"BOF2012001",2,400,"Lophius americanus","monkfish",1,15.6,""
"BOF2012001",2,6211,"Ophiopholis aculeata","daisy brittle star",67,201,""
"BOF2012001",2,4331,"Mytilus edulis","blue mussel",1,,""
"BOF2012001",2,,"Isodycta palmata","palmate sponge",1,30.5,""
"BOF2012001",2,2212,"Pandalus montagui","Montague shrimp",33,158,""
"BOF2012001",2,2550,"Homarus americanus","American lobster",17,19495.63,""
"BOF2012001",2,2513,"Cancer irroratus","rock crab",2,,""
"BOF2012001",2,63,"Osmerus mordax","smelt",21,1176,""
"BOF2012001",2,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",2,458,""
"BOF2012001",2,17,"Microgadus tomcod","Atlantic tomcod",1,172,""
"BOF2012001",2,14,"Merluccius bilinearis","silver hake",698,38110.8,""
"BOF2012001",2,40,"Hippoglossoides platessoides","American plaice",6,564,""
"BOF2012001",2,12,"Urophycis tenuis","white hake",1,234,""
"BOF2012001",2,203,"Leucoraja erinacea","little skate",1,492,""
"BOF2012001",2,60,"Clupea harengus","herring",181,6371.2,""
"BOF2012001",2,41,"Glyptocephalus cynoglossus","witch flounder",1,4,""
"BOF2012001",2,701,"Peprilus triacanthus","butterfish ",2,72,""
"BOF2012001",2,2211,"Pandalus borealis","northern shrimp",3,36,""
"BOF2012001",2,43,"Pseudopleuronectes americanus","winter flounder",248,16754.88,""
"BOF2012001",2,62,"Alosa pseudoharengus","alewife",199,29348.52,""
"BOF2012001",3,2212,"Pandalus montagui","Montague shrimp",261,1325,""
"BOF2012001",3,2211,"Pandalus borealis","northern shrimp",1328,11060,""
"BOF2012001",3,8010,"Aurelia aurita","moon jelly",,29550,""
"BOF2012001",3,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",9,1734.1,""
"BOF2012001",3,40,"Hippoglossoides platessoides","American plaice",1,30.4,""
"BOF2012001",3,60,"Clupea harengus","herring",3,46,""
"BOF2012001",3,,"Isodycta palmata","palmate sponge",,398.8,""
"BOF2012001",3,701,"Peprilus triacanthus","butterfish ",2,63,""
"BOF2012001",3,43,"Pseudopleuronectes americanus","winter flounder",44,2388.3,""
"BOF2012001",3,2550,"Homarus americanus","American lobster",157,65299.5,""
"BOF2012001",3,6611,"Cucumaria frondosa","orange-footed sea cucumber",285,26780,""
"BOF2012001",3,14,"Merluccius bilinearis","silver hake",98,5184.2,""
"BOF2012001",3,63,"Osmerus mordax","smelt",122,2954.84,""
"BOF2012001",3,,"Urticina felina","northern red anemone",6,372,""
"BOF2012001",3,8311,"Metridium senile","frilled anemone",5,180,""
"BOF2012001",3,,"Boltenia ovifera","stalked sea squirt",1,31,""
"BOF2012001",3,62,"Alosa pseudoharengus","alewife",17,1937,""
"BOF2012001",3,,"Doryteuthis pealeii","longfin inshore squid",80,3016,""
"BOF2012001",4,,"Doryteuthis pealeii","longfin inshore squid",355,30835.3,""
"BOF2012001",4,701,"Peprilus triacanthus","butterfish ",5,318,""
"BOF2012001",4,43,"Pseudopleuronectes americanus","winter flounder",6,330,""
"BOF2012001",4,,"Urticina felina","northern red anemone",1,25,""
"BOF2012001",4,4211,"Buccinum undatum","waved whelk",4,80,""
"BOF2012001",4,6411,"Strongylocentrotus droebachiensis","green sea urchin",418,2110,""
"BOF2012001",4,6119,"Henricia sanguinolenta","blood star",5,25,""
"BOF2012001",4,2550,"Homarus americanus","American lobster",10,5215.5,""
"BOF2012001",4,4321,"Placopecten magellanicus","deep sea scallop",88,2235.4,""
"BOF2012001",4,,"Asterias vulgaris","northern sea star",16,570.1,""
"BOF2012001",4,2562,"Pagurus acadianus","Acadian hermit crab",1,15,""
"BOF2012001",4,4342,"Clinocardium ciliatum","Iceland cockle",6,,""
"BOF2012001",4,70,"Scomber scombrus","mackerel",9,1182.6,""
"BOF2012001",4,2417,"Crangon septemspinosa","sand shrimp",36,,""
"BOF2012001",4,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",7,119,""
"BOF2012001",4,62,"Alosa pseudoharengus","alewife",18,1334,""
"BOF2012001",4,640,"Zoarces americanus","ocean pout",1,408,""
"BOF2012001",4,12,"Urophycis tenuis","white hake",27,2114.5,""
"BOF2012001",4,6611,"Cucumaria frondosa","orange-footed sea cucumber",12,1128,""
"BOF2012001",4,8623,"Halichondria panicea","breadcrumb sponge",1,40.9,""
"BOF2012001",4,2521,"Hyas coarctatus","toad crab",1,4.6,""
"BOF2012001",4,,"Ciona intestinalis","sea vase",1,6,""
"BOF2012001",4,1827,"Halocynthia pyriformis","sea peach",1,4,""
"BOF2012001",4,,"Boltenia ovifera","stalked sea squirt",1,7.5,""
"BOF2012001",4,,"Didemnum sp.","northern white crust",1,,""
"BOF2012001",4,,"Tubularia sp.","tubularia hydroid",1,,""
"BOF2012001",4,,"Campanularia sp.","wine glass hydroid",1,,""
"BOF2012001",5,2550,"Homarus americanus","American lobster",51,30722.09,""
"BOF2012001",5,43,"Pseudopleuronectes americanus","winter flounder",54,2153.5,""
"BOF2012001",5,14,"Merluccius bilinearis","silver hake",20,1106,""
"BOF2012001",5,70,"Scomber scombrus","mackerel",8,895,""
"BOF2012001",5,,"Asterias vulgaris","northern sea star",2,285,""
"BOF2012001",5,6119,"Henricia sanguinolenta","blood star",1,10,""
"BOF2012001",5,143,"Scophthalmus aquosus","windowpane flounder",1,46,""
"BOF2012001",5,4321,"Placopecten magellanicus","deep sea scallop",17,238.6,""
"BOF2012001",5,6411,"Strongylocentrotus droebachiensis","green sea urchin",6,,""
"BOF2012001",5,2319,"Lebbeus groenlandicus","Greenland shrimp",19,31,""
"BOF2012001",5,,"Isodycta palmata","palmate sponge",2,132,""
"BOF2012001",5,,"Boltenia ovifera","stalked sea squirt",6,127,""
"BOF2012001",5,,"Ciona intestinalis","sea vase",21,147,""
"BOF2012001",5,2521,"Hyas coarctatus","toad crab",1,,""
"BOF2012001",5,2531,"Carcinus maenas","green crab",1,,""
"BOF2012001",5,6611,"Cucumaria frondosa","orange-footed sea cucumber",18,5800,""
"BOF2012001",5,,"Lepiodonotus squamatus","scale worm",2,2,""
"BOF2012001",5,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",2,12,""
"BOF2012001",5,203,"Leucoraja erinacea","little skate",6,118.9,""
"BOF2012001",5,8311,"Metridium senile","frilled anemone",4,67.6,""
"BOF2012001",5,1827,"Halocynthia pyriformis","sea peach",4,16,""
"BOF2012001",5,,"Molgula sp.","sea grape",6,18,""
"BOF2012001",5,4331,"Mytilus edulis","blue mussel",1,,""
"BOF2012001",5,,"Didemnum sp.","northern white crust",1,,""
"BOF2012001",5,4317,"Spisula solidissima","surf clam",2,,""
"BOF2012001",5,,"Doryteuthis pealeii","longfin inshore squid",422,28898.6,""
"BOF2012001",5,62,"Alosa pseudoharengus","alewife",11,649,""
"BOF2012001",5,701,"Peprilus triacanthus","butterfish ",31,775,""
"BOF2012001",6,,"Doryteuthis pealeii","longfin inshore squid",474,36004.65,""
"BOF2012001",6,2550,"Homarus americanus","American lobster",182,74797.81,""
"BOF2012001",6,4321,"Placopecten magellanicus","deep sea scallop",30,1157.38,""
"BOF2012001",6,6411,"Strongylocentrotus droebachiensis","green sea urchin",1,,""
"BOF2012001",6,122,"Tautogolabrus adspersus","cunner",1,421,""
"BOF2012001",6,701,"Peprilus triacanthus","butterfish ",50,1395,""
"BOF2012001",6,62,"Alosa pseudoharengus","alewife",6,672,""
"BOF2012001",6,203,"Leucoraja erinacea","little skate",1,193.2,""
"BOF2012001",6,14,"Merluccius bilinearis","silver hake",5,353,""
"BOF2012001",6,,"Ciona intestinalis","sea vase",1,8,""
"BOF2012001",6,70,"Scomber scombrus","mackerel",1,113,""
"BOF2012001",6,,"Isodycta palmata","palmate sponge",12,1875,""
"BOF2012001",6,43,"Pseudopleuronectes americanus","winter flounder",29,1412,""
"BOF2012001",6,,"Asterias vulgaris","northern sea star",2,57,""
"BOF2012001",7,220,"Squalus acanthias","spiny dogfish",2,4294,""
"BOF2012001",7,2550,"Homarus americanus","American lobster",241,257987.99,""
"BOF2012001",7,14,"Merluccius bilinearis","silver hake",245,16444.4,""
"BOF2012001",7,701,"Peprilus triacanthus","butterfish ",72,4079.5,""
"BOF2012001",7,12,"Urophycis tenuis","white hake",9,1892,""
"BOF2012001",7,143,"Scophthalmus aquosus","windowpane flounder",15,1425,""
"BOF2012001",7,61,"Alosa sapidissima","shad",1,77,""
"BOF2012001",7,62,"Alosa pseudoharengus","alewife",4,691,""
"BOF2012001",7,203,"Leucoraja erinacea","little skate",6,1443.6,""
"BOF2012001",7,40,"Hippoglossoides platessoides","American plaice",1,31,""
"BOF2012001",7,4321,"Placopecten magellanicus","deep sea scallop",2,48.85,""
"BOF2012001",7,,"Asterias vulgaris","northern sea star",2,40.8,""
"BOF2012001",7,4317,"Spisula solidissima","surf clam",1,,""
"BOF2012001",7,,"Isodycta palmata","palmate sponge",1,150,""
"BOF2012001",7,6611,"Cucumaria frondosa","orange-footed sea cucumber",57,13045,""
"BOF2012001",7,70,"Scomber scombrus","mackerel",1,118,""
"BOF2012001",7,320,"Hemitripterus americanus","sea raven",1,768,""
"BOF2012001",7,640,"Zoarces americanus","ocean pout",1,78,""
"BOF2013001",1,8010,"Aurelia aurita","moon jelly",16,258,""
"BOF2013001",1,,"barnacle sp","barnacle sp",4,38,""
"BOF2013001",1,2513,"Cancer irroratus","rock crab",1,83,""
"BOF2013001",1,2531,"Carcinus maenas","green crab",1,21,""
"BOF2013001",1,4342,"Clinocardium ciliatum","Iceland cockle",1,9,""
"BOF2013001",1,2417,"Crangon septemspinosa","sand shrimp",20,110,""
"BOF2013001",1,6611,"Cucumaria frondosa","orange-footed sea cucumber",10,3348,""
"BOF2013001",1,501,"Cyclopterus lumpus","lumpfish",1,180,""
"BOF2013001",1,,"Halichondria bowerbanki","bowerbanks halichondria",1,56,""
"BOF2013001",1,2550,"Homarus americanus","American lobster",60,13679,""
"BOF2013001",1,,"Doryteuthis pealeii","longfin inshore squid",7,261,""
"BOF2013001",1,,"Lepiodonotus squamatus","scale worm",1,1,""
"BOF2013001",1,204,"Leucoraja ocellata","winter skate",1,8.7,""
"BOF2013001",1,14,"Merluccius bilinearis","silver hake",15,505,""
"BOF2013001",1,8311,"Metridium senile","frilled anemone",15,418,""
"BOF2013001",1,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",2,201,""
"BOF2013001",1,2562,"Pagurus acadianus","Acadian hermit crab",2,86,""
"BOF2013001",1,2212,"Pandalus montagui","Montague shrimp",3,12,""
"BOF2013001",1,4321,"Placopecten magellanicus","deep sea scallop",15,688,""
"BOF2013001",1,43,"Pseudopleuronectes americanus","winter flounder",25,899,""
"BOF2013001",1,70,"Scomber scombrus","mackerel",1,160,""
"BOF2013001",1,4317,"Spisula solidissima","surf clam",1,7,""
"BOF2013001",1,6411,"Strongylocentrotus droebachiensis","green sea urchin",38,558,""
"BOF2013001",1,13,"Urophycis chuss","red hake",1,40,""
"BOF2013001",1,,"Urticina felina","northern red anemone",1,13,""
"BOF2013001",1,640,"Zoarces americanus","ocean pout",1,50,""
"BOF2013001",2,62,"Alosa pseudoharengus","alewife",21,1452,""
"BOF2012001",7,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",61,8618.94,""
"BOF2012001",7,,"Doryteuthis pealeii","longfin inshore squid",146,7967.02,""
"BOF2012001",7,2211,"Pandalus borealis","northern shrimp",2,34,""
"BOF2012001",7,2212,"Pandalus montagui","Montague shrimp",39,190,""
"BOF2012001",7,43,"Pseudopleuronectes americanus","winter flounder",117,9579.96,""
"BOF2012001",8,4321,"Placopecten magellanicus","deep sea scallop",3,14.86,""
"BOF2012001",8,2212,"Pandalus montagui","Montague shrimp",33,164,""
"BOF2012001",8,2211,"Pandalus borealis","northern shrimp",2,20,""
"BOF2012001",8,2550,"Homarus americanus","American lobster",19,9629.61,""
"BOF2012001",8,14,"Merluccius bilinearis","silver hake",6711,546091.18,""
"BOF2012001",8,701,"Peprilus triacanthus","butterfish ",20,1672,""
"BOF2012001",8,60,"Clupea harengus","herring",24,1674,""
"BOF2012001",8,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",4,794,""
"BOF2012001",8,43,"Pseudopleuronectes americanus","winter flounder",49,3868,""
"BOF2012001",8,62,"Alosa pseudoharengus","alewife",6,510,""
"BOF2012001",8,70,"Scomber scombrus","mackerel",2,292,""
"BOF2012001",8,12,"Urophycis tenuis","white hake",1,20,""
"BOF2012001",8,,"Doryteuthis pealeii","longfin inshore squid",3,214,""
"BOF2012001",9,14,"Merluccius bilinearis","silver hake",252,22710.2,""
"BOF2012001",9,40,"Hippoglossoides platessoides","American plaice",12,886,""
"BOF2012001",9,70,"Scomber scombrus","mackerel",1,172,""
"BOF2012001",9,61,"Alosa sapidissima","shad",2,178,""
"BOF2012001",9,12,"Urophycis tenuis","white hake",2,166,""
"BOF2012001",9,41,"Glyptocephalus cynoglossus","witch flounder",1,66,""
"BOF2012001",9,,"Doryteuthis pealeii","longfin inshore squid",3,234,""
"BOF2012001",9,4321,"Placopecten magellanicus","deep sea scallop",18,192.02,""
"BOF2012001",9,6123,"Crossaster papposus","spiny sun star",1,26,""
"BOF2012001",9,2212,"Pandalus montagui","Montague shrimp",17,70,""
"BOF2012001",9,2211,"Pandalus borealis","northern shrimp",111,951,""
"BOF2012001",9,2550,"Homarus americanus","American lobster",4,5616.22,""
"BOF2012001",9,62,"Alosa pseudoharengus","alewife",74,3718.5,""
"BOF2012001",9,60,"Clupea harengus","herring",22,1460,""
"BOF2012001",9,43,"Pseudopleuronectes americanus","winter flounder",16,4078,""
"BOF2012001",10,62,"Alosa pseudoharengus","alewife",21,1187,""
"BOF2012001",10,40,"Hippoglossoides platessoides","American plaice",22,2342,""
"BOF2012001",10,60,"Clupea harengus","herring",80,1691,""
"BOF2012001",10,2211,"Pandalus borealis","northern shrimp",375,3215,""
"BOF2012001",10,2212,"Pandalus montagui","Montague shrimp",69,285,""
"BOF2012001",10,2550,"Homarus americanus","American lobster",6,8695.68,""
"BOF2012001",10,43,"Pseudopleuronectes americanus","winter flounder",43,12502,""
"BOF2012001",10,14,"Merluccius bilinearis","silver hake",438,42168.24,""
"BOF2012001",10,12,"Urophycis tenuis","white hake",3,754,""
"BOF2012001",10,61,"Alosa sapidissima","shad",5,532,""
"BOF2012001",10,41,"Glyptocephalus cynoglossus","witch flounder",7,180,""
"BOF2012001",10,40,"Hippoglossoides platessoides","American plaice",2,42,""
"BOF2012001",10,11,"Melanogrammus aeglefinus","haddock",2,32,""
"BOF2012001",10,,"Doryteuthis pealeii","longfin inshore squid",1,32,""
"BOF2012001",10,,"Cuaudina arenata","rat-tailed sea cucumber",1,75,""
"BOF2012001",10,6115,"Ctenodiscus crispatus","mud star",13,75.1,""
"BOF2012001",10,4321,"Placopecten magellanicus","deep sea scallop",15,146.67,""
"BOF2012001",11,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",16,2736,""
"BOF2012001",11,701,"Peprilus triacanthus","butterfish ",204,9514.6,""
"BOF2012001",11,6611,"Cucumaria frondosa","orange-footed sea cucumber",103,22402.5,""
"BOF2012001",11,6115,"Ctenodiscus crispatus","mud star",8,44,""
"BOF2012001",11,6411,"Strongylocentrotus droebachiensis","green sea urchin",6,155,""
"BOF2012001",11,4321,"Placopecten magellanicus","deep sea scallop",7,57.28,""
"BOF2012001",11,2212,"Pandalus montagui","Montague shrimp",156,658,""
"BOF2012001",11,14,"Merluccius bilinearis","silver hake",188,16643.76,""
"BOF2012001",11,2550,"Homarus americanus","American lobster",293,290365.7,""
"BOF2012001",11,43,"Pseudopleuronectes americanus","winter flounder",49,3653,""
"BOF2012001",11,203,"Leucoraja erinacea","little skate",1,730,""
"BOF2012001",11,70,"Scomber scombrus","mackerel",9,1297,""
"BOF2012001",11,62,"Alosa pseudoharengus","alewife",11,918,""
"BOF2012001",11,60,"Clupea harengus","herring",1,32,""
"BOF2012001",11,63,"Osmerus mordax","smelt",1,55,""
"BOF2012001",11,61,"Alosa sapidissima","shad",5,547,""
"BOF2012001",11,143,"Scophthalmus aquosus","windowpane flounder",2,159,""
"BOF2012001",11,13,"Urophycis chuss","red hake",1,78,""
"BOF2012001",11,,"Doryteuthis pealeii","longfin inshore squid",50,3141,""
"BOF2012001",12,30,"Hippoglossus hippoglossus","Atlantic halibut",1,1320,""
"BOF2012001",12,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",1,196,""
"BOF2012001",12,62,"Alosa pseudoharengus","alewife",5,586,""
"BOF2012001",12,70,"Scomber scombrus","mackerel",9,1136,""
"BOF2012001",12,143,"Scophthalmus aquosus","windowpane flounder",1,94,""
"BOF2012001",12,43,"Pseudopleuronectes americanus","winter flounder",90,7207.06,""
"BOF2012001",12,14,"Merluccius bilinearis","silver hake",14,1242,""
"BOF2012001",12,,"Asterias vulgaris","northern sea star",1,46,""
"BOF2012001",12,6115,"Ctenodiscus crispatus","mud star",1,8,""
"BOF2012001",12,4321,"Placopecten magellanicus","deep sea scallop",60,1524.79,""
"BOF2012001",12,2550,"Homarus americanus","American lobster",40,42014.47,""
"BOF2012001",12,701,"Peprilus triacanthus","butterfish ",33,1810,""
"BOF2012001",12,,"Doryteuthis pealeii","longfin inshore squid",50,3666,""
"BOF2012001",12,63,"Osmerus mordax","smelt",1,76,""
"BOF2009001",1,8010,"Aurelia aurita","moon jelly",4260,94640,""
"BOF2009001",1,60,"Clupea harengus","herring",49,,""
"BOF2009001",1,2550,"Homarus americanus","American lobster",43,,""
"BOF2009001",1,,"Isodycta palmata","palmate sponge",2,,""
"BOF2009001",1,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",5,,""
"BOF2009001",1,63,"Osmerus mordax","smelt",2,,""
"BOF2009001",1,43,"Pseudopleuronectes americanus","winter flounder",46,,""
"BOF2009001",2,62,"Alosa pseudoharengus","alewife",1,,""
"BOF2009001",2,8010,"Aurelia aurita","moon jelly",3408,75710,""
"BOF2009001",2,60,"Clupea harengus","herring",3,,""
"BOF2009001",2,6611,"Cucumaria frondosa","orange-footed sea cucumber",264,,""
"BOF2009001",2,,"Green algae sp.","green algae",1,,""
"BOF2009001",2,,"Halichondria bowerbanki","Bowerbank's halichondria",1,,""
"BOF2009001",2,320,"Hemitripterus americanus","sea raven",1,,""
"BOF2009001",2,2550,"Homarus americanus","American lobster",18,,""
"BOF2009001",2,,"Isodycta palmata","palmate sponge",2,,""
"BOF2009001",2,203,"Leucoraja erinacea","little skate",3,,""
"BOF2009001",2,14,"Merluccius bilinearis","silver hake",30,,""
"BOF2009001",2,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",6,,""
"BOF2009001",2,63,"Osmerus mordax","smelt",13,,""
"BOF2009001",2,2211,"Pandalus borealis","northern shrimp",6125,,""
"BOF2009001",2,4321,"Placopecten magellanicus","deep sea scallop",7,,""
"BOF2009001",2,43,"Pseudopleuronectes americanus","winter flounder",12,,""
"BOF2009001",2,,"Red algae sp.","red algae",1,,""
"BOF2009001",2,143,"Scophthalmus aquosus","windowpane flounder",1,,""
"BOF2009001",2,6121,"Solaster endeca","smooth sunstar",1,,""
"BOF2009001",2,6411,"Strongylocentrotus droebachiensis","green sea urchin",9,,""
"BOF2009001",3,62,"Alosa pseudoharengus","alewife",13,,""
"BOF2009001",3,60,"Clupea harengus","herring",2,,""
"BOF2009001",3,6611,"Cucumaria frondosa","orange-footed sea cucumber",10,,""
"BOF2009001",3,501,"Cyclopterus lumpus","lumpfish",2,,""
"BOF2009001",3,10,"Gadus morhua","Atlantic cod",4,,""
"BOF2009001",3,320,"Hemitripterus americanus","sea raven",2,,""
"BOF2009001",3,2550,"Homarus americanus","American lobster",29,,""
"BOF2009001",3,203,"Leucoraja erinacea","little skate",20,,""
"BOF2009001",3,204,"Leucoraja ocellata","winter skate",2,,""
"BOF2009001",3,14,"Merluccius bilinearis","silver hake",47,,""
"BOF2009001",3,300,"Myoxocephalus octodecemspinosus","longhorn sculpin",1,,""
"BOF2009001",3,63,"Osmerus mordax","smelt",37,,""
"BOF2009001",3,43,"Pseudopleuronectes americanus","winter flounder",15,,""
"BOF2009001",3,6121,"Solaster endeca","smooth sunstar",1,,""
"BOF2009001",3,6411,"Strongylocentrotus droebachiensis","green sea urchin",3,,""
"BOF2009001",3,309,"Triglops sp.","triglops sp.",1,,""
"BOF2009001",4,62,"Alosa pseudoharengus","alewife",2,,""
"BOF2009001",4,,"Amaroucium spp.","sea pork",3,,""
